name,versionString,manager
husky,^0.14.3,NPM
less-plugin-autoprefix,^2.0.0,NPM
start-server-and-test,^1.7.13,NPM
angular/angular-animate/angular-animate.min.js,,N/A
angular/angular-autocomplete/angucomplete-alt.js,,N/A
angular/angular-bootstrap/ui-bootstrap-tpls.js,,N/A
angular/angular-chart/angular-chart.min.js,,N/A
angular/angular-chart/Chart.min.js,,N/A
angular/angular-checklist/checklist-model.js,,N/A
angular/angular-clipboard/angular-clipboard.js,,N/A
angular/angular-currency-mask/angular-currency-mask.js,,N/A
angular/angular-datepicker/angular-datepicker.min.js,,N/A
angular/angular-file-upload/angular-file-upload.min.js,,N/A
angular/angular-gravatar/angular-gravatar.md5.min.js,,N/A
angular/angular-gravatar/angular-gravatar.min.js,,N/A
angular/angular-sanitize/angular-sanitize.min.js,,N/A
angular/angular-tooltips/angular-tooltips.js,,N/A
angular/angular-ui-router/angular-ui-router.min.js,,N/A
angular/angular-ui-utils/ui-utils.min.js,,N/A
angular/angular.js,,N/A
angular/angular.min.js,,N/A
angular/daterangepicker/_moment.min.js,,N/A
angular/daterangepicker/_timezone.js,,N/A
angular/daterangepicker/angular-daterangepicker.min.js,,N/A
angular/daterangepicker/daterangepicker.min.js,,N/A
angular/ng-text-truncate/ng-text-truncate.js,,N/A
angular/ngdialog/ngDialog.js,,N/A
angular/ngstorage/ngStorage.min.js,,N/A
angular/oclazyload/ocLazyLoad.min.js,,N/A
angular/restangular/restangular.min.js,,N/A
angular/toaster/toaster.min.js,,N/A
angular/ui-paging/ui-paging.js,,N/A
lazyload/jquery/bootstrap.js,,N/A
lazyload/jquery/charts/easypiechart/jquery.easy-pie-chart.js,,N/A
lazyload/jquery/charts/flot/jquery.flot.min.js,,N/A
lazyload/jquery/charts/flot/jquery.flot.orderBars.js,,N/A
lazyload/jquery/charts/flot/jquery.flot.pie.min.js,,N/A
lazyload/jquery/charts/flot/jquery.flot.resize.js,,N/A
lazyload/jquery/charts/flot/jquery.flot.spline.js,,N/A
lazyload/jquery/charts/flot/jquery.flot.tooltip.min.js,,N/A
lazyload/jquery/charts/sparkline/jquery.sparkline.min.js,,N/A
lazyload/jquery/chosen/chosen.jquery.min.js,,N/A
lazyload/jquery/datatables/dataTables.bootstrap.js,,N/A
lazyload/jquery/datatables/jquery.dataTables.min.js,,N/A
lazyload/jquery/file/bootstrap-filestyle.min.js,,N/A
lazyload/jquery/footable/footable.all.min.js,,N/A
lazyload/jquery/fullcalendar/fullcalendar.min.js,,N/A
lazyload/jquery/jquery-ui-1.10.3.custom.min.js,,N/A
lazyload/jquery/jquery.ui.touch-punch.min.js,,N/A
lazyload/jquery/jvectormap/jquery-jvectormap-us-aea-en.js,,N/A
lazyload/jquery/jvectormap/jquery-jvectormap-world-mill-en.js,,N/A
lazyload/jquery/jvectormap/jquery-jvectormap.min.js,,N/A
lazyload/jquery/nestable/jquery.nestable.js,,N/A
lazyload/jquery/select2/select2.min.js,,N/A
lazyload/jquery/slider/bootstrap-slider.js,,N/A
lazyload/jquery/slimscroll/jquery.slimscroll.min.js,,N/A
lazyload/jquery/sortable/jquery.sortable.js,,N/A
lazyload/jquery/spinner/jquery.bootstrap-touchspin.min.js,,N/A
lazyload/jquery/ui-jp.config.js,,N/A
lazyload/jquery/ui-jp.js,,N/A
lazyload/jquery/ui-load.js,,N/A
lazyload/jquery/ui-nav.js,,N/A
lazyload/jquery/ui-toggle.js,,N/A
lazyload/jquery/wysiwyg/bootstrap-wysiwyg.js,,N/A
lazyload/jquery/wysiwyg/jquery.hotkeys.js,,N/A
lazyload/modules/angular-bootstrap-nav-tree/abn_tree_directive.js,,N/A
lazyload/modules/angular-file-upload/angular-file-upload.min.js,,N/A
lazyload/modules/angular-slider/angular-slider.min.js,,N/A
lazyload/modules/angular-ui-calendar/calendar.js,,N/A
lazyload/modules/angular-ui-grid/ui-grid.js,,N/A
lazyload/modules/angular-ui-grid/ui-grid.min.js,,N/A
lazyload/modules/angular-ui-select/select.min.js,,N/A
lazyload/modules/angular-xeditable/js/xeditable.js,,N/A
lazyload/modules/angular-xeditable/js/xeditable.min.js,,N/A
lazyload/modules/angularjs-toaster/toaster.js,,N/A
lazyload/modules/googlemap/load-google-maps.js,,N/A
lazyload/modules/ng-grid/ng-grid.min.js,,N/A
lazyload/modules/ngImgCrop/ng-img-crop.js,,N/A
lazyload/modules/textAngular/textAngular-sanitize.min.js,,N/A
lazyload/modules/textAngular/textAngular.min.js,,N/A
lazyload/modules/videogular/plugins/buffering.min.js,,N/A
lazyload/modules/videogular/plugins/controls.min.js,,N/A
lazyload/modules/videogular/plugins/ima-ads.min.js,,N/A
lazyload/modules/videogular/plugins/overlay-play.min.js,,N/A
lazyload/modules/videogular/plugins/poster.min.js,,N/A
lazyload/modules/videogular/videogular.min.js,,N/A
lazyload/screenfull.min.js,,N/A
lazyload/xlsx/downloadify.min.js,,N/A
lazyload/xlsx/FileSaver.js,,N/A
lazyload/xlsx/swfobject.js,,N/A
lazyload/xlsx/xlsx.core.min.js,,N/A
lib/jquery/jquery.min.js,,N/A
lib/papaparse/papaparse.min.js,,N/A
lib/sugar/sugar.min.js,,N/A
lib/underscore/underscore-min.js,,N/A
babel-eslint,^10.0.1,NPM
barrels,^1.6.5,NPM
esdoc,^1.1.0,NPM
esdoc-standard-plugin,^1.0.0,NPM
eslint,5.12.1,NPM
eslint-config-airbnb-base,13.1.0,NPM
eslint-plugin-compat,2.6.3,NPM
eslint-plugin-import,2.15.0,NPM
eslint-plugin-mocha,5.3.0,NPM
eslint-plugin-node,8.0.1,NPM
eslint-plugin-you-dont-need-lodash-underscore,6.4.0,NPM
eslint-plugin-you-dont-need-momentjs,1.4.0,NPM
mocha,^5.0.4,NPM
mock-knex,^0.4.2,NPM
nock,^9.2.3,NPM
nyc,^12.0.2,NPM
sails-memory,^0.10.7,NPM
should,^13.2.1,NPM
sinon,^4.4.6,NPM
snyk,1.122.4,NPM
supertest,3.4.2,NPM
@sendgrid/mail,^6.4.0,NPM
aws-sdk,^2.313.0,NPM
bcrypt,^3.0.6,NPM
bluebird,^3.1.1,NPM
chance,^0.8.0,NPM
elasticsearch,^14.1.0,NPM
fast-csv,^2.4.0,NPM
flat,^4.1.0,NPM
handlebars,^4.0.11,NPM
include-all,~0.1.3,NPM
json2csv,^3.11.5,NPM
jsonwebtoken,^7.0.0,NPM
knex,^0.15.2,NPM
lodash,^4.15.0,NPM
machinepack-mandrill,^1.1.0,NPM
mandrill-api,^1.0.45,NPM
moment,^2.10.6,NPM
moment-business-days,1.0.6,NPM
moment-round,^1.0.1,NPM
mysql,^2.16.0,NPM
needle,^0.11.0,NPM
newrelic,^5.5.0,NPM
numeral,^2.0.6,NPM
passport,^0.3.2,NPM
passport-local,^1.0.0,NPM
rc,~0.5.0,NPM
redis,^2.8.0,NPM
s3fs,^2.5.0,NPM
sails,^0.12.4,NPM
sails-disk,^0.10.10,NPM
sails-mongo,^0.12.1,NPM
sails-mysql,^0.11.5,NPM
sails-validation-messages,0.0.0,NPM
sha512,0.0.1,NPM
skipper-s3,^0.5.6,NPM
slack-notify,^0.1.6,NPM
webshot,^0.18.0,NPM
winston,^2.1.1,NPM
winston-loggly,^1.2.0,NPM
winston-logstash-udp,^0.2.1,NPM
babel-core,^6.26.0,NPM
babel-polyfill,^6.26.0,NPM
babel-preset-env,^1.7.0,NPM
browser-sync,^2.23.6,NPM
eslint,^6.1.0,NPM
eslint-config-airbnb-base,^14.0.0,NPM
eslint-config-prettier,^6.3.0,NPM
eslint-plugin-import,^2.18.2,NPM
eslint-plugin-prettier,^3.1.0,NPM
gulp,^3.9.1,NPM
gulp-autoprefixer,^3.1.0,NPM
gulp-babel,^7.0.1,NPM
gulp-concat,^2.6.0,NPM
gulp-cssnano,^2.1.2,NPM
gulp-eslint,^6.0.0,NPM
gulp-livereload,^3.8.1,NPM
gulp-merge,^0.1.1,NPM
gulp-newer,^1.4.0,NPM
gulp-notify,^2.2.0,NPM
gulp-plumber,^1.2.0,NPM
gulp-rename,^1.4.0,NPM
gulp-rev,^8.1.1,NPM
gulp-sass,3.0.0,NPM
gulp-sass-bulk-import,^1.0.1,NPM
gulp-sass-glob,^1.0.9,NPM
gulp-size,^2.1.0,NPM
gulp-sourcemaps,^1.12.1,NPM
gulp-strip-comments,^2.5.2,NPM
gulp-uglify,^1.5.4,NPM
gulp-watch,^4.3.9,NPM
husky,^3.0.5,NPM
lazypipe,^1.0.1,NPM
lint-staged,^9.2.5,NPM
node-sass,^4.12.0,NPM
organizze-gulp-sass-bulk-import,^0.1.1,NPM
prettier,1.18.2,NPM
aelvan/imager,^2.1,Composer
aelvan/preparse-field,^1.0,Composer
babel-preset-es2015,^6.24.1,NPM
babel-preset-stage-2,^6.24.1,NPM
charliedev/advanced-url-field,1.0.0,Composer
clubstudioltd/craft-asset-rev,6.0.1,Composer
craftcms/aws-s3,^1.0,Composer
